time_s,ecg_raw,ecg_cleaned
2.630000000000000115e-01,5.240000000000000000e+02,4.587708286582909523e+01
2.640000000000000124e-01,5.250000000000000000e+02,4.615753427617035243e+01
2.650000000000000133e-01,5.260000000000000000e+02,4.640006968389580067e+01
2.660000000000000142e-01,5.280000000000000000e+02,4.656565523027868636e+01
2.670000000000000151e-01,5.280000000000000000e+02,4.662261957054694506e+01
2.680000000000000160e-01,5.270000000000000000e+02,4.654783619889939672e+01
2.690000000000000169e-01,5.250000000000000000e+02,4.632720424721686925e+01
2.700000000000000178e-01,5.230000000000000000e+02,4.595545851968834228e+01
2.710000000000000187e-01,5.210000000000000000e+02,4.543540408681976572e+01
2.720000000000000195e-01,5.190000000000000000e+02,4.477671987229992112e+01
2.730000000000000204e-01,5.190000000000000000e+02,4.399450099935175018e+01
2.740000000000000213e-01,5.210000000000000000e+02,4.310770887234528459e+01
2.750000000000000222e-01,5.190000000000000000e+02,4.213767570923848638e+01
2.760000000000000231e-01,5.160000000000000000e+02,4.110677706764653294e+01
2.770000000000000240e-01,5.130000000000000000e+02,4.003735267754121452e+01
2.780000000000000249e-01,5.130000000000000000e+02,3.895092569759078316e+01
2.790000000000000258e-01,5.160000000000000000e+02,3.786773753695026556e+01
2.800000000000000266e-01,5.170000000000000000e+02,3.680657470563880906e+01
2.810000000000000275e-01,5.150000000000000000e+02,3.578482186758576233e+01
2.819999999999999729e-01,5.130000000000000000e+02,3.481864594087035414e+01
2.829999999999999738e-01,5.130000000000000000e+02,3.392320950810182723e+01
2.839999999999999747e-01,5.140000000000000000e+02,3.311282454577627732e+01
2.849999999999999756e-01,5.130000000000000000e+02,3.240097892272804359e+01
2.859999999999999765e-01,5.120000000000000000e+02,3.180019181702235898e+01
2.869999999999999774e-01,5.120000000000000000e+02,3.132168034499014553e+01
2.879999999999999782e-01,5.110000000000000000e+02,3.097484881194365514e+01
2.889999999999999791e-01,5.100000000000000000e+02,3.076664104379605291e+01
2.899999999999999800e-01,5.100000000000000000e+02,3.070082076335633658e+01
2.909999999999999809e-01,5.100000000000000000e+02,3.077726163181181462e+01
2.919999999999999818e-01,5.090000000000000000e+02,3.099133571404511400e+01
2.929999999999999827e-01,5.080000000000000000e+02,3.133348658177007451e+01
2.939999999999999836e-01,5.100000000000000000e+02,3.178906156828144347e+01
2.949999999999999845e-01,5.120000000000000000e+02,3.233845709091835374e+01
2.959999999999999853e-01,5.110000000000000000e+02,3.295760306101673365e+01
2.969999999999999862e-01,5.130000000000000000e+02,3.361878239893860609e+01
2.979999999999999871e-01,5.130000000000000000e+02,3.429175597335372316e+01
2.989999999999999880e-01,5.110000000000000000e+02,3.494514446897687776e+01
2.999999999999999889e-01,5.120000000000000000e+02,3.554800415564383087e+01
3.009999999999999898e-01,5.160000000000000000e+02,3.607151786248340386e+01
3.019999999999999907e-01,5.190000000000000000e+02,3.649070128877914954e+01
3.029999999999999916e-01,5.210000000000000000e+02,3.678600033840384498e+01
3.039999999999999925e-01,5.220000000000000000e+02,3.694463838581167181e+01
3.049999999999999933e-01,5.230000000000000000e+02,3.696157594234149002e+01
3.059999999999999942e-01,5.220000000000000000e+02,3.683997403129438197e+01
