time_s,ecg
0.343,4.803324269198497
0.344,4.023117232624356
0.345,3.3536986217248557
0.346,2.799880079245443
0.347,2.3551640090186274
0.348,2.0045529154024395
0.349,1.733011921746395
0.35,1.5266561645179941
0.351,1.3712812209350405
0.352,1.2534778128204271
0.353,1.1615370231819846
0.354,1.0856203293445343
0.355,1.0174212840914687
0.356,0.9521964914268993
0.357,0.890156882527386
0.358,0.8326248934772501
0.359,0.7795914913835507
0.36,0.7322451809060602
0.361,0.6931426145332736
0.362,0.6631088108405258
0.363,0.6406875766428004
0.364,0.6252221367255647
0.365,0.6163586136522221
0.366,0.6124497052815179
0.367,0.6119542310321342
0.368,0.614197581177941
0.369,0.6191142703704415
0.37,0.6269851385158338
0.371,0.6382890039478833
0.372,0.6543873443504681
0.373,0.676821589636642
0.374,0.7054860245391319
0.375,0.7393019941273534
0.376,0.7776648036554719
0.377,0.8201202283443838
0.378,0.8658391957208572
0.379,0.9148575116280081
0.38,0.9685315955796935
0.381,1.0276504977910643
0.382,1.090392369320396
0.383,1.1535937974386958
0.384,1.2136601046876743
0.385,1.2671191035543998
0.386,1.311304863408987
0.387,1.3447897072552026
0.388,1.3687671138862398
0.389,1.3860547687558542
0.39,1.3993308961459352
0.391,1.410550668025538
0.392,1.4215040292918653
0.393,1.4345812601024106
0.394,1.4526431566877678
0.395,1.4775829643755096
0.396,1.509994667759078
0.397,1.5502678049640566
0.398,1.5972930345042917
0.399,1.6473137848385073
0.4,1.6959882174140444
0.401,1.7406533595505034
0.402,1.779499168406968
0.403,1.8098766359638405
0.404,1.8299976932153417
0.405,1.8396122257038128
0.406,1.8395104039009262
0.407,1.8316439251053256
0.408,1.819280276863243
0.409,1.8061138005703843
0.41,1.796241663254399
0.411,1.7940896560333686
0.412,1.8013854686562973
0.413,1.8167645446437963
0.414,1.837301128166427
0.415,1.8602429142468089
0.416,1.8838917585994603
0.417,1.9080669394699583
0.418,1.9335330572838858
0.419,1.9601367257960673
0.42,1.9876084667099954
0.421,2.0151638851604643
0.422,2.0409637942740724
0.423,2.063346757786527
0.424,2.0808829880633004
0.425,2.093144756163036
0.426,2.100040896957404
0.427,2.1023082551797287
0.428,2.1021150682275103
0.429,2.101660887203001
0.43,2.1019883160290354
0.431,2.1035395122453764
0.432,2.1055504421526154
0.433,2.106097405836413
0.434,2.1046375858816826
0.435,2.1028915192030135
0.436,2.1027244877750273
0.437,2.1051753291528486
0.438,2.1099687324830785
0.439,2.1157139420075017
0.44,2.1207421949980674
0.441,2.1237989763913716
0.442,2.1245097850574526
0.443,2.1232549234298808
0.444,2.1211403708362098
0.445,2.1191212928511614
0.446,2.1186047886157513
0.447,2.121426132092506
0.448,2.128352083656036
0.449,2.138823613772237
0.45,2.1512371339177725
0.451,2.162810101217914
0.452,2.170712533094315
0.453,2.1746396843528313
0.454,2.1761271738796655
0.455,2.1764919955210127
0.456,2.1763939018873795
0.457,2.1756080339508284
0.458,2.173310992750538
0.459,2.1690599706784846
0.46,2.162805980646345
0.461,2.1545489851501824
0.462,2.1449431535753485
0.463,2.1353277501620926
0.464,2.127619590768562
0.465,2.1237834442048618
0.466,2.124954400494195
0.467,2.1306269607234296
0.468,2.1387851812644176
0.469,2.146803775338405
0.47,2.1523650426313496
0.471,2.1548259510384784
0.472,2.1553520291958623
0.473,2.155371733348226
0.474,2.155355154524037
0.475,2.154777136190464
0.476,2.1521057272075472
0.477,2.1455346483240096
0.478,2.133976100593547
0.479,2.1181743663360226
0.48,2.100541036974492
0.481,2.083662145860357
0.482,2.070621411937714
0.483,2.063838239255537
0.484,2.063466713437997
0.485,2.067871421092215
0.486,2.0748929396351783
0.487,2.0825389487526333
0.488,2.089171155582675
0.489,2.094917658992963
0.49,2.100485587402024
0.491,2.1054045094678755
0.492,2.1087097989001538
0.493,2.1102766821803773
0.494,2.110368698092488
0.495,2.1086552369208853
0.496,2.105856732647911
0.497,2.1035600644034496
0.498,2.1024810948564974
0.499,2.1023800509130677
0.5,2.102398294495398
0.501,2.101472655632232
0.502,2.0993689847367465
0.503,2.0971122831889786
0.504,2.095597613724788
0.505,2.0951225666203523
0.506,2.095125083551309
0.507,2.094237545216658
0.508,2.091380526466052
0.509,2.086456642768094
0.51,2.0793627867682423
0.511,2.0705889592244704
0.512,2.0617426768503724
0.513,2.054198384663681
0.514,2.048001949980684
0.515,2.042944618936784
0.516,2.0394668350028704
0.517,2.0372911065409967
0.518,2.035043219807715
0.519,2.031239180782126
0.52,2.02462704480962
0.521,2.0140197525210755
0.522,1.9978881864074105
0.523,1.975236991257132
0.524,1.946555854600878
0.525,1.9127716932137806
0.526,1.8743503219808482
0.527,1.83216864478673
0.528,1.7889362273987632
0.529,1.7475972900852428
0.53,1.7080954026151707
0.531,1.6675777501515912
0.532,1.6244534489774547
0.533,1.5785277015547572
0.534,1.5310634675836265
0.535,1.485346231638962
0.536,1.444959470697395
0.537,1.4127014188646412
0.538,1.3888318235543073
0.539,1.3716291109373682
0.54,1.3588231641684967
0.541,1.3486196267761437
0.542,1.3389570850798107
0.543,1.3262057551570803
0.544,1.3069713278115076
0.545,1.280241205048804
0.546,1.2467230743739774
0.547,1.2068727128124597
0.548,1.1620198002647668
0.549,1.1151572704476693
0.55,1.069638119191732
0.551,1.0275731243887096
0.552,0.9900306301642805
0.553,0.9583202191697623
0.554,0.9325716209996026
0.555,0.9111295361450097
0.556,0.8923010889292888
0.557,0.8755304807131518
0.558,0.8608535395642734
0.559,0.8478410065195232
0.56,0.8354728077996201
0.561,0.8224681735009429
0.562,0.8076471206918745
0.563,0.7902002713283011
0.564,0.769647586114916
0.565,0.7457035281245331
0.566,0.7190156146551175
0.567,0.6909950612521484
0.568,0.6623731787345298
0.569,0.6342073461876679
0.57,0.6078450467703924
0.571,0.5844323584652528
0.572,0.5642206111353062
0.573,0.5473603962878236
0.574,0.5347605669956056
0.575,0.5260121573986165
0.576,0.5204748363701434
0.577,0.518171594518755
0.578,0.5181703527216939
0.579,0.5183318502352593
0.58,0.5171198722773438
0.581,0.5142285686766642
0.582,0.5106816885984372
0.583,0.5086287112204574
0.584,0.509257625176092
0.585,0.5114944621379836
0.586,0.5129038434630835
0.587,0.5115001293997397
0.588,0.5070736201506948
0.589,0.5006219149130712
0.59,0.49379037881917176
0.591,0.4879644788774241
0.592,0.48358349107501497
0.593,0.48068078280456916
0.594,0.47926709894434916
0.595,0.47975848387544584
0.596,0.48190550307271
0.597,0.484015755909331
0.598,0.4842817838435339
0.599,0.4820567502043811
0.6,0.4777928017749983
0.601,0.47302025619048654
0.602,0.4700312124655169
0.603,0.4691183103564381
0.604,0.46892944885841265
0.605,0.4688143055178121
0.606,0.4688878132364735
0.607,0.46997265423328966
0.608,0.47284662268036143
0.609,0.4771227161350299
0.61,0.48170469726491966
0.611,0.4858748413999591
0.612,0.4887453323985493
0.613,0.4896193130595793
0.614,0.4884013573906426
0.615,0.48484153845377315
0.616,0.4790182853177312
0.617,0.47205878787061234
