time_s,ecg_raw,ecg_cleaned
1.559999999999999998e-01,5.260000000000000000e+02,6.095971250983912171e+01
1.570000000000000007e-01,5.220000000000000000e+02,6.092013675617236146e+01
1.580000000000000016e-01,5.180000000000000000e+02,6.090770911187222225e+01
1.590000000000000024e-01,5.160000000000000000e+02,6.091940311546996156e+01
1.600000000000000033e-01,5.150000000000000000e+02,6.095158245202564018e+01
1.610000000000000042e-01,5.160000000000000000e+02,6.100002888980102966e+01
1.620000000000000051e-01,5.170000000000000000e+02,6.105999952170096634e+01
1.630000000000000060e-01,5.200000000000000000e+02,6.112632070237112458e+01
1.640000000000000069e-01,5.260000000000000000e+02,6.119352101179442371e+01
1.650000000000000078e-01,5.310000000000000000e+02,6.125600019554507014e+01
1.660000000000000087e-01,5.320000000000000000e+02,6.130822603704532980e+01
1.670000000000000095e-01,5.310000000000000000e+02,6.134494714155206196e+01
1.680000000000000104e-01,5.320000000000000000e+02,6.136140713787992240e+01
1.690000000000000113e-01,5.340000000000000000e+02,6.135354510773674264e+01
1.700000000000000122e-01,5.330000000000000000e+02,6.131816817409441001e+01
1.710000000000000131e-01,5.310000000000000000e+02,6.125308492587971898e+01
1.719999999999999862e-01,5.290000000000000000e+02,6.115719233133724941e+01
1.729999999999999871e-01,5.260000000000000000e+02,6.103051345625262059e+01
1.739999999999999880e-01,5.250000000000000000e+02,6.087418804330022226e+01
1.749999999999999889e-01,5.210000000000000000e+02,6.069042222081920812e+01
1.759999999999999898e-01,5.190000000000000000e+02,6.048240677439803648e+01
1.769999999999999907e-01,5.170000000000000000e+02,6.025421516334191807e+01
1.779999999999999916e-01,5.180000000000000000e+02,6.001069261990814141e+01
1.789999999999999925e-01,5.200000000000000000e+02,5.975734626620218393e+01
1.799999999999999933e-01,5.220000000000000000e+02,5.950024345686699689e+01
1.809999999999999942e-01,5.250000000000000000e+02,5.924592190626277244e+01
1.819999999999999951e-01,5.300000000000000000e+02,5.900131109903824722e+01
1.829999999999999960e-01,5.320000000000000000e+02,5.877366056936483574e+01
1.839999999999999969e-01,5.320000000000000000e+02,5.857046739735179131e+01
1.849999999999999978e-01,5.320000000000000000e+02,5.839939315224112448e+01
1.859999999999999987e-01,5.310000000000000000e+02,5.826815981207740691e+01
1.869999999999999996e-01,5.280000000000000000e+02,5.818441503941749460e+01
1.880000000000000004e-01,5.260000000000000000e+02,5.815555954378842074e+01
1.890000000000000013e-01,5.240000000000000000e+02,5.818853289861195321e+01
1.900000000000000022e-01,5.240000000000000000e+02,5.828955875105936002e+01
1.910000000000000031e-01,5.250000000000000000e+02,5.846385542168835059e+01
1.920000000000000040e-01,5.230000000000000000e+02,5.871532294586335610e+01
1.930000000000000049e-01,5.220000000000000000e+02,5.904622217466825163e+01
1.940000000000000058e-01,5.240000000000000000e+02,5.945686519228291189e+01
1.950000000000000067e-01,5.270000000000000000e+02,5.994533866753829443e+01
1.960000000000000075e-01,5.300000000000000000e+02,6.050728259715329216e+01
1.970000000000000084e-01,5.300000000000000000e+02,6.113574609722046915e+01
1.980000000000000093e-01,5.300000000000000000e+02,6.182113946276150784e+01
1.990000000000000102e-01,5.310000000000000000e+02,6.255129776482392145e+01
2.000000000000000111e-01,5.320000000000000000e+02,6.331166601545616146e+01
2.010000000000000120e-01,5.330000000000000000e+02,6.408560971061453415e+01
2.020000000000000129e-01,5.340000000000000000e+02,6.485484772717194346e+01
2.030000000000000138e-01,5.340000000000000000e+02,6.559999750578131739e+01
2.039999999999999869e-01,5.350000000000000000e+02,6.630121561039707956e+01
2.049999999999999878e-01,5.360000000000000000e+02,6.693891051899701949e+01
2.059999999999999887e-01,5.370000000000000000e+02,6.749449923498386283e+01
2.069999999999999896e-01,5.380000000000000000e+02,6.795117532737157262e+01
2.079999999999999905e-01,5.390000000000000000e+02,6.829465355276215632e+01
2.089999999999999913e-01,5.400000000000000000e+02,6.851385544421179929e+01
2.099999999999999922e-01,5.380000000000000000e+02,6.860150124352715295e+01
2.109999999999999931e-01,5.360000000000000000e+02,6.855457628563208061e+01
2.119999999999999940e-01,5.380000000000000000e+02,6.837464430976643825e+01
2.129999999999999949e-01,5.410000000000000000e+02,6.806798598542607692e+01
2.139999999999999958e-01,5.420000000000000000e+02,6.764554794537104954e+01
2.149999999999999967e-01,5.410000000000000000e+02,6.712269550394832152e+01
2.159999999999999976e-01,5.390000000000000000e+02,6.651877065946450784e+01
2.169999999999999984e-01,5.370000000000000000e+02,6.585646556816475083e+01
2.179999999999999993e-01,5.350000000000000000e+02,6.516103006663016117e+01
2.190000000000000002e-01,5.340000000000000000e+02,6.445933965578922198e+01
2.200000000000000011e-01,5.330000000000000000e+02,6.377885731815135273e+01
2.210000000000000020e-01,5.310000000000000000e+02,6.314652833353456884e+01
2.220000000000000029e-01,5.330000000000000000e+02,6.258765164515092039e+01
