beat_index,peak_sample,peak_time_s,peak_value,rr_prev_s,rr_next_s,rr_baseline_s,prematurity_index,compensatory_pause_index,qrs_width_ms,qrs_peak_to_peak,qrs_area_abs,qrs_max_slope,template_corr,is_extrasystole_candidate
21,9940,9.94,-6.529397515487181,0.36299999999999955,0.2550000000000008,0.4229999999999947,0.858156028368804,0.6028368794326335,88.99999999995067,34.44237363079044,0.8541309547591489,1267.4307007813018,-0.06856724465857755,0
22,10195,10.195,-8.39987027923453,0.2550000000000008,0.31700000000000017,0.4229999999999947,0.6028368794326335,0.7494089834515464,23.9999999999867,12.305349531729334,0.3130674173122242,903.8235792120716,0.025187461007827792,0
23,10512,10.512,-149.8685920323807,0.31700000000000017,0.40000000000000036,0.4229999999999947,0.7494089834515464,0.9456264775413838,59.99999999996675,303.91927405944625,6.145228362358955,21036.139975240276,0.7940757414440414,0
24,10912,10.912,-6.6229669940911435,0.40000000000000036,0.2569999999999997,0.4229999999999947,0.9456264775413838,0.6075650118203378,163.9999999999091,18.202357627583353,0.46335229575632664,970.6114500318567,0.06477440459849532,0
25,11169,11.169,-10.229231728874653,0.2569999999999997,0.30100000000000016,0.4229999999999947,0.6075650118203378,0.711583924349891,50.999999999971735,16.07850301593276,0.45664431443054176,1248.886360777079,0.04714536345076008,0
26,11470,11.47,-144.59297905471755,0.30100000000000016,0.37599999999999945,0.4229999999999947,0.711583924349891,0.8888888888888987,24.999999999986144,317.8478272030875,5.953427577156963,21843.72715374757,0.7493283088814976,0
27,11846,11.846,-6.741629105405153,0.37599999999999945,0.548,0.4229999999999947,0.8888888888888987,1.2955082742316948,11.99999999999335,27.597194051647403,0.7063478435708014,991.5610840114286,-0.03020254580895047,0
28,12394,12.394,-136.72574823341245,0.548,0.577,0.4229999999999947,1.2955082742316948,1.3640661938534449,24.999999999986144,309.9625121611561,5.669572119537856,21875.973089223404,0.6989538179428202,0
29,12971,12.971,-8.233118111747821,0.577,0.30400000000000027,0.4229999999999947,1.3640661938534449,0.7186761229314517,76.99999999995732,17.457697531354967,0.4539396597841668,1441.9924318999256,0.06634721193629058,0
30,13275,13.275,-146.06253174341273,0.30400000000000027,0.641,0.4229999999999947,0.7186761229314517,1.5153664302600662,39.99999999997783,285.26019375983867,5.65154192472122,19786.096184640446,0.813220313419238,0
31,13916,13.916,-10.40976105452067,0.641,0.27699999999999925,0.4229999999999947,1.5153664302600662,0.6548463356974059,213.9999999998814,8.855003176662693,0.22596665443663966,708.550974511443,-0.006207535847457674,0
32,14193,14.193,-147.65972883637502,0.27699999999999925,0.42400000000000126,0.4229999999999947,0.6548463356974059,1.0023640661938689,25.99999999998559,316.45674887505766,5.702866216261032,22224.223590102236,0.7363819327755652,0
33,14617,14.617,-181.24841902113988,0.42400000000000126,0.42299999999999827,0.4229999999999947,1.0023640661938689,1.0000000000000084,154.9999999999141,237.09095997396525,7.95457640599561,10532.300886392348,0.5102569355738049,0
34,15040,15.04,-62.02985031198538,0.42299999999999827,0.9060000000000006,0.4229999999999947,1.0000000000000084,2.141843971631234,200.99999999988862,24.26766159254406,0.7782434007350867,1002.0741123269954,0.5016185213678507,0
35,15946,15.946,-141.90270107877984,0.9060000000000006,0.5320000000000018,0.4229999999999947,2.141843971631234,1.2576832151300437,24.999999999986144,306.6071430390132,5.947033310970989,21028.581960337626,0.7396207134339656,0
36,16478,16.478,-6.280150036551738,0.5320000000000018,0.3559999999999981,0.4229999999999947,1.2576832151300437,0.8416075650118263,158.9999999999119,21.645131263815898,0.4006878205457917,824.306137986508,-0.00927913578346999,0
37,16834,16.834,-150.40564462160677,0.3559999999999981,0.6359999999999992,0.4229999999999947,0.8416075650118263,1.5035460992907972,66.99999999996287,293.10121240163113,5.660863938296271,20484.40255024783,0.8206409001274344,0
38,17470,17.47,-8.569832793163481,0.6359999999999992,0.2640000000000029,0.4229999999999947,1.5035460992907972,0.6241134751773196,208.99999999988418,11.965522508647942,0.3901105754018706,539.9011790128146,-0.0022338586829052424,0
39,17734,17.734,-137.10581026943368,0.2640000000000029,0.4259999999999984,0.4229999999999947,0.6241134751773196,1.007092198581569,24.999999999986144,313.5258416678523,5.718027207744414,21951.7117996941,0.7038479758195242,0
40,18160,18.16,-197.42459169109227,0.4259999999999984,0.402000000000001,0.4229999999999947,1.007092198581569,0.9503546099290923,152.99999999991522,238.3341385957242,7.704738049699565,9589.209442547542,0.5494003391483394,0
41,18562,18.562,-58.99858499933557,0.402000000000001,0.3279999999999994,0.4229999999999947,0.9503546099290923,0.7754137115839326,177.99999999990135,38.20877467955276,0.9152549271360189,1557.7366684234626,0.48922111866784246,0
42,18890,18.89,-14.962955330272521,0.3279999999999994,0.5689999999999991,0.4229999999999947,0.7754137115839326,1.345153664302615,58.9999999999673,17.301683019886894,0.570606745770168,1370.734416394756,0.1965471017480578,0
43,19459,19.459,-141.0757820223876,0.5689999999999991,0.8629999999999995,0.4229999999999947,1.345153664302615,2.040189125295533,42.99999999997617,302.15890240191965,5.609667002570304,20961.12942095351,0.7169490171633885,0
44,20322,20.322,-146.12003359769125,0.8629999999999995,0.5350000000000001,0.4229999999999947,2.040189125295533,1.2647754137116,36.999999999979494,286.9274358962373,5.673836519695158,20143.08835572243,0.8205992395803352,0
45,20857,20.857,-5.9912217790576925,0.5350000000000001,0.3670000000000009,0.4229999999999947,1.2647754137116,0.867612293144221,89.99999999995012,7.7535384279495005,0.25424239039390134,662.4147403130346,0.03316376676719251,0
46,21224,21.224,-147.06122166021234,0.3670000000000009,0.41499999999999915,0.4229999999999947,0.867612293144221,0.9810874704491829,26.999999999985036,326.9322721160804,6.192377916591326,22702.587495453718,0.7157767835796885,0
47,21639,21.639,-3.7524092840478915,0.41499999999999915,0.5180000000000007,0.4229999999999947,0.9810874704491829,1.2245862884160925,147.99999999991797,27.403832254475216,0.6969763918638783,1215.0012528689037,0.052394680681009234,0
48,22157,22.157,-160.12905808705906,0.5180000000000007,0.5629999999999988,0.4229999999999947,1.2245862884160925,1.3309692671394937,81.99999999995455,307.74693719085496,5.649385750340157,21227.091208206853,0.8150599157587607,0
49,22720,22.72,-7.448631826660036,0.5629999999999988,0.3990000000000009,0.4229999999999947,1.3309692671394937,0.9432624113475316,87.99999999995123,16.16571565195706,0.49501196310775514,1112.01686311599,0.030454391271532717,0
50,23119,23.119,-157.05577240117893,0.3990000000000009,0.2510000000000012,0.4229999999999947,0.9432624113475316,0.5933806146572207,43.999999999975614,294.6977860203135,5.605852488206295,20451.487012944235,0.8171828001887126,0
51,23370,23.37,-22.77171898902118,0.2510000000000012,0.7070000000000007,0.4229999999999947,0.5933806146572207,1.6713947990543963,71.9999999999601,31.68208417630214,1.141614419442939,1889.5119637158873,0.2415749751982104,0
